Kernel Type, Buffers, Queue Type, Unroll, ERT FLOPs, Elements per Bank, Data Type, Frequency (MHz)
swi,1,coalesced,256,1,0,float,236
swi,1,coalesced,256,1,0,int,233
swi,1,coalesced,256,1,0,signed_char,312
swi,1,coalesced,256,2,0,float,228
swi,1,coalesced,256,2,0,signed_char,307
swi,1,coalesced,256,4,0,float,226
swi,1,coalesced,256,4,0,signed_char,278
swi,1,coalesced,256,5,0,float,240
swi,1,coalesced,256,6,0,float,233
swi,1,coalesced,256,8,0,signed_char,247
swi,1,coalesced,2,64,0,float,338
swi,1,coalesced,2,64,0,signed_char,336
swi,1,coalesced,2,8,0,float,338
swi,1,coalesced,2,8,0,signed_char,344
swi,1,coalesced,3,1009,0,float,228
swi,1,coalesced,3,1,0,float,238
swi,1,coalesced,32,13,0,long,207
swi,1,coalesced,32,16,0,float,317
swi,1,coalesced,32,16,0,signed_char,342
swi,1,coalesced,32,1,0,float,301
swi,1,coalesced,32,1,0,int,300
swi,1,coalesced,32,1,0,long,318
swi,1,coalesced,32,1,0,signed_char,340
swi,1,coalesced,32,2,0,float,338
swi,1,coalesced,32,2,0,signed_char,336
swi,1,coalesced,32,31,0,int,234
swi,1,coalesced,32,32,0,float,326
swi,1,coalesced,32,32,0,signed_char,256
swi,1,coalesced,32,4,0,float,341
swi,1,coalesced,32,4,0,signed_char,345
swi,1,coalesced,32,64,0,float,305
swi,1,coalesced,32,64,0,signed_char,292
swi,1,coalesced,32,8,0,float,333
swi,1,coalesced,32,8,0,long,215
swi,1,coalesced,32,8,0,signed_char,336
swi,1,coalesced,32,92,0,float,291
swi,1,coalesced,32,93,0,float,259
swi,1,coalesced,32,9,0,double,206
swi,1,coalesced,3,505,0,float,230
swi,1,coalesced,4,106,0,long,258
swi,1,coalesced,4,107,0,long,255
swi,1,coalesced,4,128,0,float,332
swi,1,coalesced,4,128,0,signed_char,319
swi,1,coalesced,4,16,0,float,339
swi,1,coalesced,4,16,0,signed_char,340
swi,1,coalesced,4,1,0,float,337
swi,1,coalesced,4,1,0,int,339
